"Bid Solicitation #","Organization Name","Contract #","Buyer","Description","Bid Opening Date","Bid Holder List","Awarded Vendor(s)","Status","Alternate Id"
"40DHHS-S1554","Department of Human Services","","Annette Morfin","TAP Coupon Books","04/07/2021 13:00:00","","Office Depot","Bid to PO","Shaina Holmes-Robinson"
"99SWC-S1553","Statewide Contracts","99SWC-NV21-9272","Annette Morfin","Security Guard Services","05/17/2021 13:00:00","","Allied Universal Security Services","Bid to PO","RFP 3455"
"72DOW-S1552","Department of Wildlife","72DOW-NV21-9354","Teri Becker","Remote Sensing Modeling","07/06/2021 14:00:00","","Open Range Consulting, Inc","Bid to PO",""
"99SWC-S1551","Statewide Contracts","","Gideon Davis","eProcurement Solutions (NASPO ValuePoint - Maine)","05/17/2021 00:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","Maine RFP 202102021"
"40DHHS-S1550","Department of Human Services","","Christine Cochran","Mobile Imaging Bid 2021","04/27/2021 12:00:00","","Direct Mobile Imaging LLC","Bid to PO",""
"80DOT-S1549","Department of Transportation","","Marti Marsh","Plantmix-Mountain City Hwy","04/15/2021 11:00:00","","Staker Paving & Construction","Bid to PO","NDEQ021462"
"80DOT-S1548","Department of Transportation","","Marti Marsh","Plantmix-Starr Valley","04/15/2021 11:00:00","","Staker Paving & Construction","Bid to PO","NDEQ021464"
"80DOT-S1547","Department of Transportation","","Marti Marsh","Plantmix-Wells Maintenance Yard","04/15/2021 11:00:00","","Staker Paving & Construction","Bid to PO","NDEQ021463"
"08DOA-S1546","Department of Administration","","Marti Marsh","Brocade Switches","04/01/2021 11:00:00","/bso/external/bidAckList.sdo","9 TO 5 COMPUTER, Dell Marketing L.P, LLC dba Dell EMC","Bid to PO","180 R15374"
"70CNR-S1545","Department of Conservation and Natural Resources","","Gideon Davis","BK Technologies Handheld Portable Radios","04/08/2021 09:00:00","/bso/external/bidAckList.sdo","MCINTOSH COMMUNICATIONS INC","Bid to PO","RX 706 R15073"
"43ADG-S1544","Adjutant General","","Annette Morfin","Twin Size Mattresses","04/07/2021 17:00:00","","Silver State Industries","Bid to PO","431 33977"
"43ADG-S1542","Adjutant General","","Marti Marsh","LG 75"" TV","03/31/2021 13:00:00","","Howard Technology Solutions","Bid to PO","431 33963"
"80DOT-S1541","Department of Transportation","80DOT-NV21-8336","Marti Marsh","Roll Up Fabric Signs and Stands","04/15/2021 14:30:00","","Dicke Safety Products","Bid to PO","OTC"
"70CNR-S1540","Department of Conservation and Natural Resources","","Gideon Davis","BK Technologies Radios and Accessories","04/07/2021 09:00:00","/bso/external/bidAckList.sdo","MCINTOSH COMMUNICATIONS INC","Bid to PO","RXQ 706 R15241"
"81DMV-S1539","Department of Motor Vehicles","","Marti Marsh","Lexmark Toner Cartridges","03/30/2021 10:00:00","","IPRINT TECHNOLOGIES","Bid to PO","810 33947"
"81DMV-S1538","Department of Motor Vehicles","","Marti Marsh","Lexmark Toner Cartridges","03/29/2021 10:00:00","","IPRINT TECHNOLOGIES","Bid to PO","810 33946"
"40DHHS-S1537","Department of Human Services","40DHHS-NV21-8550","Ryan Vradenburg","Pandemic Electronic Benefits Transfer (P-EBT)","04/27/2021 14:00:00","","Deloitte Consulting LLP","Bid to PO",""
"24VS-S1536","Department of Veterans Services","24VS-NV21-8826","Heather Moon","Secondary Water Treatment System","04/12/2021 12:00:00","","GARRATT-CALLAHAN CO","Bid to PO",""
"24VS-S1535","Department of Veterans Services","24VS-NV21-8825","Heather Moon","Water System Regulatory Compliance and Operator of Record","04/12/2021 14:00:00","","Broadbent & Associates, Inc.","Bid to PO",""
"40DHHS-S1533","Department of Human Services","","Annette Morfin","E-212 stock envelopes 600k","03/25/2021 13:00:00","","Cenveo","Bid to PO","407 R15239"
"61GCB-S1532","Gaming Control Board","","Heather Moon","MINIVAN SURVEILLANCE PLATFORM","04/08/2021 14:00:00","","Crime Point Inc","Bid to PO","RX 611-33940"
"40DHHS-S1531","Department of Human Services","","Gideon Davis","Pentair Pool Equipment","03/24/2021 11:00:00","","AZ Pool Supplies, Inc.","Bid to PO","RX 409 00000033958"
"40DHHS-S1530","Department of Human Services","40DHHS-NV21-9088","Christine Phipps","Addressing Domestic Violence","05/24/2021 14:00:00","","Health Management Associates Inc","Bid to PO",""
"43ADG-S1529","Adjutant General","","Teri Becker","Sporting Equipment","03/31/2021 14:00:00","","BSN SPORTS, LLC","Bid to PO","RX 431-33959"
"99SWC-S1528","Statewide Contracts","","Annette Morfin","Small Package Delivery Services","04/21/2021 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed",""
"40DHHS-S1527","Department of Human Services","","Gideon Davis","Institutional Furniture - Game Tables","03/22/2021 14:00:00","","CORTECH USA ","Bid to PO","RX 409 00000033938"
"99SWC-S1526","Statewide Contracts","","Teri Becker","Invoice Auditing Services","04/16/2021 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse 30096"
"70CNR-S1525","Department of Conservation and Natural Resources","","Heather Moon","TRACK BRUSH CHIPPER","04/06/2021 14:00:00","/bso/external/bidAckList.sdo","Cal-Line Equipment Inc","Bid to PO","775-350-0077"
"40DHHS-S1524","Department of Human Services","","Teri Becker","Audiology Screening Equipment","03/25/2021 14:00:00","","HCI Audiometrics","Bid to PO",""
"55AGR-S1521","Department of Agriculture","55AGR-NV21-8735 55AGR-NV21-8736","Teri Becker","HVAC Preventative Maintenance","04/26/2021 14:00:00","","Emcor Services Mesa Energy Inc, RHP Mechanical Systems","Bid to PO",""
"80DOT-S1520","Department of Transportation","80DOT-NV21-8207","Marti Marsh","Galvanized Steel Sign Posts","04/15/2021 14:00:00","","Xcessories Squared Southwest Inc.","Bid to PO","OTC"
"72DOW-S1518","Department of Wildlife","72DOW-NV21-9353 72DOW-NV21-9351 72DOW-NV21-9352","Teri Becker","Fence Construction and Removal","07/20/2021 14:00:00","","ACHA Construction, Gold Standard Fence, LLC, L and I Fence Construction Inc","Bid to PO",""
"80DOT-S1517","Department of Transportation","","Annette Morfin","Jar  Rolling Mill","03/12/2021 17:00:00","","Sepor, Inc","Bid to PO","NDHQ89521"
"55AGR-S1516","Department of Agriculture","","Marti Marsh","HPE Aruba Switches","03/12/2021 10:00:00","","Hardware Nation LLC","Bid to PO","550 X21031"
"99SWC-S1515","Statewide Contracts","","Teri Becker","Automated Dispensing Cabinet Systems","04/26/2021 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse 30036"
"99SWC-S1514","Statewide Contracts","","Gideon Davis","Fitness Equipment  - University of California / OMNIA Partners","04/12/2021 17:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","RFP# 002295-DEC2020"
"01GO-S1513","Governor's Office","","Ryan Vradenburg","Marketing and Outreach Campaign Services","05/06/2021 14:00:00","","The Abbi Agency","Bid to PO",""
"44DOC-S1512","Department of Corrections","44DOC-NV21-8728","Annette Morfin","Third Party Administrative Services for Inmates - Statewide","05/04/2021 13:00:00","","Hometown Health Partners","Bid to PO","RFP 3086"
"65DPS-S1511","Department of Public Safety","","Marti Marsh","Cisco Webex Room Kit","03/30/2021 14:00:00","","IVCI, LLC.","Bid to PO","652 33852"
"80DOT-S1510","Department of Transportation","","Heather Moon","FORD F-550 REFUSE COLLECTION TRUCK","04/01/2021 14:00:00","","Corwin Ford Reno","Bid to PO","RX 083-NDEQ021451"
"80DOT-S1509","Department of Transportation","","Marti Marsh","Microwave Radio","03/10/2021 10:00:00","","TechConnect Communications LP","Bid to PO","NDHQ89221"
"43ADG-S1508","Adjutant General","43ADG-NV21-8583","Nancy Feser","Youth ChalleNGe Food Service ","04/08/2021 14:00:00","","Compass Group","Bid to PO",""
"40DHHS-S1507","Department of Human Services","","Teri Becker","AEDs and Supplies","03/08/2021 14:00:00","","Enerspect Medical Solutions","Bid to PO","RX 406-33906"
"69CRC-S1506","Colorado River Commission","","Ryan Vradenburg","Engineering Services","04/26/2021 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","ES-21-01"
"44DOC-S1505","Department of Corrections","44DOC-NV21-8729","Annette Morfin","PPO for Incarcerated Individuals","04/12/2021 13:00:00","","Hometown Health Partners","Bid to PO",""
"70CNR-S1504","Department of Conservation and Natural Resources","70CNR-NV21-9532","Nancy Feser","Collection Servies","04/05/2021 14:00:00","","Crisis Consulting & Marketing, LLC","Bid to PO",""
"70CNR-S1503","Department of Conservation and Natural Resources","70CNR-NV21-9470","Nancy Feser","Sand Harbor Motorized Watersports Concession","04/27/2021 14:00:00","","Tahoe Blue Boat Rentals LLC","Bid to PO",""
"65DPS-S1502","Department of Public Safety","","Heather Moon","JANITORIAL SERVICES FOR THE NEVADA DEPARTMENT OF PUBLIC SAFETY","03/12/2021 17:00:00","","N/A","Closed",""
"30DOE-S1501","Department of Education","","Heather Moon","Instructional Materials for World Language","04/06/2021 17:00:00","","N/A","Closed",""
"40DHHS-S1500","Department of Human Services","","Teri Becker","WIC MPUG Maintenance and Enhancements","05/25/2021 14:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","State of Utah RS21-81"
"40DHHS-S1499","Department of Human Services","","Ryan Vradenburg","Consulting and Monitoring of Federal Programs","06/09/2021 14:00:00","/bso/external/bidAckList.sdo","My Office Staff","Bid to PO",""
"80DOT-S1498","Department of Transportation","","Heather Moon","RAM 4500 HOOK LIFT-DUMP BED","03/29/2021 14:00:00","","Carson Dodge Chrysler, Inc","Bid to PO","RX 083-NDEQ021445"
"80DOT-S1497","Department of Transportation","","Heather Moon","MECHANIC CRANE SERVICE TRUCK","03/25/2021 14:00:00","","Corwin Ford Reno","Bid to PO","RX 083-NDEQ021444"
"72DOW-S1496","Department of Wildlife","72DOW-NV21-9012 72DOW-NV21-9011 72DOW-NV21-9010","Teri Becker","Media Advertising","04/15/2021 14:00:00","","KRNV LLC, ROBERTSON+PARTNERS, The Abbi Agency","Bid to PO",""
"99SWC-S1495","Statewide Contracts","99SWC-NV21-10828 99SWC-NV21-8811 99SWC-NV21-8812 99SWC-NV21-24209 99SWC-NV21-19962 99SWC-NV21-21035 99SWC-NV21-24375 99SWC-NV21-9293 99SWC-NV21-9335 99SWC-NV21-17799 99SWC-NV21-8813 99SWC-NV21-8815 99SWC-NV21-8816 99SWC-NV21-8903 99SWC-NV21-9163 99SWC-NV21-9164 99SWC-NV21-12746 99SWC-NV21-23135 99SWC-NV21-8888 99SWC-NV21-20134 99SWC-NV21-8890 99SWC-NV21-16447 99SWC-NV21-8814 99SWC-NV21-9294 99SWC-NV21-9295 99SWC-NV21-8810 99SWC-NV21-8817 99SWC-NV21-8889 99SWC-NV21-9481","Heather Moon","Fleet, Alternative Fuel and Police Vehicles","06/30/2025 10:02:02","","Bill Pearce Courtesy Honda, Capital Ford Mazda Hyundai, Carson Car Center Hyundai, Carson City Toyota Scion, Carson Dodge Chrysler, Inc, Champion Chevrolet, CHAPMAN'S LAS VEGAS DODGE, Corwin Ford Reno, Creative Bus Sales, Inc., Desert GMC LLC, Dolan Dodge Ram Fiat, Dolan Fernley Chrysler, Jeep, Dodge, Ram, Dolan Toyota Scion, ELKO MOTOR COMPANY, Fairway Chevrolet, Fallon Auto Mall, FINDLAY CHEVROLET, Ford Country, Gallagher Ford, GAUDIN FORD, Las Vegas Bus Sales, MICHAEL HOHL MOTOR COMPANY, Reno Buick GMC Cadillac, RO Bus Sales, Tesla, Inc., Tom Dolan Automotive, Inc. dba Tom Dolan's Reno Mazda Kia, Towbin Dodge Ram, United Nissan of Reno, Wild West Chevrolet","Bid to PO",""
"70CNR-S1494","Department of Conservation and Natural Resources","70CNR-NV21-8392","Nancy Feser","Environmental Cleanup for Three Kids Mine Project Site  ","03/25/2021 14:00:00","","McGinley & Associates, Inc.","Bid to PO",""
"81DMV-S1493","Department of Motor Vehicles","","Annette Morfin","Unprinted Card Stock","02/23/2021 13:00:00","","NEVADA STATE PRINTING OFFICE - LCB","Bid to PO","810 33855"
"40DHHS-S1491","Department of Human Services","40DHHS-NV21-8701","Christine Phipps","Water Treatment Services","04/21/2021 14:00:00","","Broadbent & Associates, Inc.","Bid to PO",""
"40DHHS-S1490","Department of Human Services","","Annette Morfin","Stock envelopes","02/18/2021 17:00:00","","Cenveo","Bid to PO","407 R14240"
"65DPS-S1489","Department of Public Safety","","Teri Becker","Preliminary Breath Testers and Calibration Supplies","03/02/2021 14:00:00","","Lifeloc Technologies, Inc.","Bid to PO","RX 651HP000002056"
"80DOT-S1487","Department of Transportation","","Marti Marsh","Cattle Guards","03/04/2021 14:00:00","","Doherty Welding, LLC","Bid to PO","NDEQ021438"
"40DHHS-S1486","Department of Human Services","","Gideon Davis","Statewide Data Capture and Reporting System for CANS/TCOM - Request for  Information (RFI)","03/17/2021 14:00:00","","","Bid to PO",""
"30DOE-S1484","Department of Education","30DOE-NV21-8883","Ryan Vradenburg","Environmental Rating Scale Assessor Services","03/25/2021 00:00:00","","EARLY LEARNING INSIGHT LLC","Bid to PO",""
"80DOT-S1483","Department of Transportation","","Marti Marsh","Extreme Switches","02/16/2021 10:00:00","","STEP CG, LLC","Bid to PO","NDHQ88721"
"30DOE-S1482","Department of Education","30DOE-NV21-8824","Heather Moon","Identity Access Management (IAM)","04/13/2021 14:00:00","","Identity Automation","Bid to PO",""
"72DOW-S1480","Department of Wildlife","","Heather Moon","EXCAVATOR","03/02/2021 14:00:00","","Arnold Machinery Co.","Bid to PO","RX 702-33851"
"70CNR-S1479","Department of Conservation and Natural Resources","","Heather Moon","T76 T4 BOBCAT COMPACT TRACK LOADER","03/04/2021 14:00:00","","Bobcat of Reno","Bid to PO","RX 704-33832"
"44DOC-S1478","Department of Corrections","","Gideon Davis","Mattresses","02/09/2021 09:00:00","","Bob Barker Company, Inc.","Bid to PO","RXQ 440 00000033821"
"55AGR-S1477","Department of Agriculture","","Gideon Davis","36 Volt Forklift Battery","02/10/2021 09:00:00","","Industrial Handling Equipment, Inc","Bid to PO","RXQ 550 X21026"
"74BAI-S1476","Department of Business and Industry","74BAI-NV21-8394","Nancy Feser","Workers' Compensation Uninsured Claims Administration","03/16/2021 14:00:00","","Sierra Nevada Administrators Inc.","Bid to PO",""
"80DOT-S1475","Department of Transportation","","Gideon Davis","Whiteboard Track System","02/05/2021 09:00:00","","TAZA SUPPLIES ","Bid to PO","RX 083 NDHQ88321"
"50COMR-S1474","Commission on Mineral Resources","50COMR-NV21-9238","Ryan Vradenburg","Abandoned Mine Lands Geological Analysis","04/01/2021 14:00:00","","McGinley & Associates, Inc.","Bid to PO",""
"74BAI-S1473","Department of Business and Industry","","Christine Phipps","Lender Database NRS 604A","04/09/2021 14:00:00","","Veritec Solutions","Bid to PO",""
"55AGR-S1472","Department of Agriculture","","Annette Morfin","Mass Spectrometer","03/01/2021 13:00:00","","SCIEX","Bid to PO","550 X21024"
"40DHHS-S1471","Department of Human Services","40DHHS-NV21-8829","Ryan Vradenburg","Pharmacy Benefits Manager","03/18/2021 14:00:00","","Prime Therapeutics State Government Solutions LLC","Bid to PO",""
"65DPS-S1470","Department of Public Safety","","Marti Marsh","Toughbook Components","02/11/2021 14:00:00","","Hypertec USA Inc. (Hypertec Direct)","Bid to PO","651 HP000002055"
"72DOW-S1469","Department of Wildlife","","Teri Becker","Policy and Procedure Document Tracking System","02/09/2021 16:00:00","","N/A","Closed",""
"99SWC-S1467","Statewide Contracts","","Teri Becker","Oral, Metabolic, Infant Formula and Enteral Nutritional Supplement Products MMCAP Infuse","03/10/2021 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse 29910"
"81DMV-S1466","Department of Motor Vehicles","81DMV-NV21-10915","Heather Moon","Driver's License Testing System","04/13/2021 14:00:00","","Intellectual Technology, Inc.","Bid to PO",""
"80DOT-S1465","Department of Transportation","80DOT-NV21-7703 80DOT-NV21-7704","Marti Marsh","Liquefied Asphalt Emulsions - OTC","02/16/2021 14:00:00","/bso/external/bidAckList.sdo","Ergon Asphalt and Emulsions, Inc., Idaho Asphalt Supply, Inc.","Bid to PO","OTC"
"01GO-S1463","Governor's Office","01GO-NV21-9237","Ryan Vradenburg","Broadband Tech, PM and Consulting Srvcs","05/17/2021 14:00:00","","Tel/Logic Inc. d.b.a. E-Rate Central","Bid to PO",""
"70CNR-S1462","Department of Conservation and Natural Resources","70CNR-NV21-8393","Nancy Feser","State Response Program, Support Services","03/09/2021 14:00:00","","McGinley & Associates, Inc.","Bid to PO",""
"99SWC-S1461","Statewide Contracts","","Teri Becker","Pharmaceuticals and Over The Counter Products","03/16/2021 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse 29893"
"08DOA-S1460","Department of Administration","","Marti Marsh","FortiToken Mobile Licenses","01/25/2021 11:00:00","/bso/external/bidAckList.sdo","Dell Marketing L.P, LLC dba Dell EMC","Bid to PO","180 R13998"
"81DMV-S1459","Department of Motor Vehicles","","Marti Marsh","Toner Cartridges","01/25/2021 13:00:00","","The Office Pal, Inc.","Bid to PO","810 33790"
"80DOT-S1458","Department of Transportation","","Marti Marsh","Hooklift Attachment","02/09/2021 14:00:00","","Semi Service Inc","Bid to PO","NDEQ021413"
"40DHHS-S1457","Department of Human Services","40DHHS-NV21-9278 40DHHS-NV21-9277 40DHHS-NV21-9279 40DHHS-NV21-9280","Teri Becker","Managed Care Organization","05/13/2021 14:00:00","","Community Care Health Plan of Nevada, Inc. Anthem Blue Cross Blue Shield, Health Plan of Nevada, Inc. (HPN), Molina Healthcare of Nevada, Inc., SilverSummit Healthplan, Inc.","Bid to PO",""
"70CNR-S1456","Department of Conservation and Natural Resources","","Kathryn Kochen","Laboratory Certification Compliance and Tracking Database","03/03/2021 14:00:00","","Quality Solutions Corp","Bid to PO",""
"80DOT-S1454","Department of Transportation","","Marti Marsh","Compact Track Loader","02/03/2021 14:00:00","","Bobcat of Reno","Bid to PO","NDEQ021380"
"24VS-S1453","Department of Veterans Services","","Marti Marsh","Laptop and Related Peripherals","01/14/2021 13:00:00","","Aita Technoliges","Bid to PO","240 33776"
"24VS-S1452","Department of Veterans Services","","Marti Marsh","Laptop and Related Peripherals","01/14/2021 13:00:00","","Aita Technoliges","Bid to PO","240 33777"
"70CNR-S1451","Department of Conservation and Natural Resources","","Gideon Davis","Kenwood VHF Radios","01/13/2021 15:00:00","","MCINTOSH COMMUNICATIONS INC","Bid to PO","RX 704 00000033779"
"81DMV-S1450","Department of Motor Vehicles","","Marti Marsh","Lexmark Toner Cartridges","01/13/2021 13:00:00","","IPRINT TECHNOLOGIES","Bid to PO","810 33759"
"69CRC-S1448","Colorado River Commission","","Heather Moon","PROFESSIONAL AUDITING SERVICES","02/16/2021 14:00:00","","Moss Adams LLP ","Bid to PO",""
"40DHHS-S1447","Department of Human Services","","Marti Marsh","Surface Pro 7 Tablets","01/08/2021 10:00:00","","N/A","Closed","409 33757"
"44DOC-S1446","Department of Corrections","","Annette Morfin","Alfalfa Hay","01/18/2021 17:00:00","","Edward Viera","Bid to PO","440 PI000000832"
"95PEBP-S1445","Public Employees' Benefits Program","95PEBP-NV21-8221","Annette Morfin","Financial Auditor","02/16/2021 14:00:00","","CliftonLarsonAllen LLP (CLA)","Bid to PO","RFP 3217"
"40DHHS-S1444","Department of Human Services","","Marti Marsh","Lenovo Thinkpad X1 Carbon","01/04/2021 10:00:00","","Technology Marketing & Management Services","Bid to PO","409 33718"
"40DHHS-S1443","Department of Human Services","","Marti Marsh","Ipad Air","12/31/2020 14:31:00","","Verizon Wireless","Bid to PO","406 33622"
"40DHHS-S1442","Department of Human Services","","Marti Marsh","Zebra Companion Scanners","12/31/2020 14:00:00","","MSA Systems, Inc","Bid to PO","406 33620"
"40DHHS-S1441","Department of Human Services","","Marti Marsh","Lenovo Thinkpad X1 Carbon","12/30/2020 10:00:00","","Technology Marketing & Management Services","Bid to PO",""
"40DHHS-S1440","Department of Human Services","","Marti Marsh","Lenovo Thinkpad X1 Carbon","12/30/2020 10:00:00","","CDW Government, Inc.","Bid to PO","409 33666"
"40DHHS-S1439","Department of Human Services","","Marti Marsh","Avaya Phones","12/30/2020 11:00:00","","CDW Government, Inc.","Bid to PO","403 33642"
"03AG-S1436","Attorney General's Office","","Marti Marsh","Lenovo ThinkPad E15","01/12/2021 14:30:00","","Y & S TECHNOLOGIES","Bid to PO","030 33646"
"40DHHS-S1435","Department of Human Services","","Marti Marsh","Lenovo Thinkpad T14","12/29/2020 11:00:00","","Y & S TECHNOLOGIES","Bid to PO","409 33667"
"40DHHS-S1434","Department of Human Services","","Marti Marsh","Lenovo Thinkpad T14","12/29/2020 11:00:00","","Y & S TECHNOLOGIES","Bid to PO","409 33668"
"30DOE-S1433","Department of Education","30DOE-NV21-8823","Heather Moon","Grant Financial Management Tool","02/10/2021 14:00:00","","Harris, Mackessy & Brennan, Inc.","Bid to PO",""
"40DHHS-S1432","Department of Human Services","","Marti Marsh","Lenovo Thinkpad T14","01/12/2021 14:00:00","","Y & S TECHNOLOGIES","Bid to PO","409 33664"
"40DHHS-S1431","Department of Human Services","","Marti Marsh","Lenovo ThinkCentre M920S","12/29/2020 10:00:00","/bso/external/bidAckList.sdo","CDW Government, Inc.","Bid to PO","409 33669"
"40DHHS-S1430","Department of Human Services","","Marti Marsh","Lenovo ThinkCentre M920S","12/29/2020 10:00:00","/bso/external/bidAckList.sdo","CDW Government, Inc.","Bid to PO","409 33670"
"30DOE-S1429","Department of Education","","Ryan Vradenburg","External Evaluator-Expanding Access to Well-Rounded Opportunities grant","02/16/2021 14:00:00","","American Institutes for Research in The Behavioral Sciences","Bid to PO",""
"81DMV-S1428","Department of Motor Vehicles","","Annette Morfin","Secure Power of Attorney Forms","12/21/2020 14:00:00","","Progressive Print Solutions","Bid to PO","810 33626"
"99SWC-S1427","Statewide Contracts","","Teri Becker","Pharmacy Supplies - MMCAP Infuse","02/16/2021 12:00:00","","Bid Solicitation Closed - Awarded Outside System","Closed","MMCAP Infuse 29799"
"99SWC-S1426","Statewide Contracts","99SWC-NV21-8443 99SWC-NV21-8432 99SWC-NV21-8442 99SWC-NV21-8445 99SWC-NV21-8448 99SWC-NV21-8441 99SWC-NV21-10940 99SWC-NV21-8436 99SWC-NV21-8439 99SWC-NV21-10941 99SWC-NV21-8433 99SWC-NV21-8446 99SWC-NV21-8440 99SWC-NV21-10942 99SWC-NV21-8434 99SWC-NV21-8437 99SWC-NV21-8435 99SWC-NV21-8438 99SWC-NV21-8444 99SWC-NV21-8447","Nancy Feser","Fire Fuels Reduction and Vegetation Management Services","03/15/2022 14:00:00","","Award in Process","Approved","RFQ 3282"
"40DHHS-S1425","Department of Human Services","","Annette Morfin","Stock envelopes","12/17/2020 13:00:00","","Cenveo","Bid to PO","407 R13353"
"70CNR-S1424","Department of Conservation and Natural Resources","","Heather Moon","2019 PJ TRAILER T6 20' TILT","12/17/2020 12:00:00","","Huntley Motor World","Bid to PO","RX 704-33677"
"44DOC-S1423","Department of Corrections","","Teri Becker","Gorilla Trays and Lids","12/17/2020 14:00:00","","Cook's Correctional","Bid to PO","RX 440-33660"
"44DOC-S1422","Department of Corrections","","Teri Becker","Masks","12/14/2020 13:00:00","","Grainger","Bid to PO","RX 440-33663"
"80DOT-S1421","Department of Transportation","80DOT-NV21-7518 80DOT-NV21-7524 80DOT-NV21-7519 80DOT-NV21-7525 80DOT-NV21-7520 80DOT-NV21-7521 80DOT-NV21-7526 80DOT-NV21-7527 80DOT-NV21-7522 80DOT-NV21-7523 80DOT-NV21-7528","Marti Marsh","Aggregate/Screenings","01/12/2021 14:00:00","/bso/external/bidAckList.sdo","Bing Materials, Cinderlite Trucking Corp., Gopher Construction, Inc., H.E. Hunewill Construction Co. Inc., Harney Rock & Paving Co., Jim Wilkin Trucking, K & B Transportation LLC, Reno Rock Transport LLC, Sierra Rental and Transport Co., Vega Construction & Trucking Co., Wulfenstein Construction Co., Inc","Bid to PO","OTC"
"80DOT-S1420","Department of Transportation","","Marti Marsh","OmniSwitch Bundles","12/30/2020 14:00:00","/bso/external/bidAckList.sdo","Dice Communications, Inc","Bid to PO","NDHQ87021"
"81DMV-S1419","Department of Motor Vehicles","","Marti Marsh","IP Phones and Headsets","12/16/2020 10:00:00","","Telesource Services, Inc","Bid to PO","810 33638/33639"
"44DOC-S1416","Department of Corrections","","Teri Becker","Masks, Gowns, Covers, Caps","12/14/2020 14:00:00","","Brady Industries of Nevada, LLC","Bid to PO","RX 440-33648"
"65DPS-S1415","Department of Public Safety","","Heather Moon","HOLSTERS AND POUCHES","12/10/2020 12:00:00","","L C Action Police supply","Bid to PO","RX 651-HP-2037"
"65DPS-S1414","Department of Public Safety","","Teri Becker","Refrigerator","12/15/2020 14:00:00","","Spacesaver Intermountain","Bid to PO","RX 650DO000000058"
"65DPS-S1413","Department of Public Safety","","Teri Becker","Reach-In Refrigerator","12/15/2020 14:00:00","","RESCO","Bid to PO","RX 650DO000000057"
"74BAI-S1412","Department of Business and Industry","","Teri Becker","MULTI-MEDIA WORKPLACE SAFETY AND HEALTH EDUCATIONIAL & INFORMATIONAL PROGRAM","01/28/2021 14:00:00","","KPS3, Inc.","Bid to PO",""
"80DOT-S1411","Department of Transportation","","Marti Marsh","Towable Arrow Board","12/28/2020 14:30:00","","United Rentals (North America), Inc.","Bid to PO","NDEQ021378"
"80DOT-S1410","Department of Transportation","","Marti Marsh","Compact Track Loader","12/28/2020 14:00:00","","Cashman Equipment Company","Bid to PO","NDEQ021381"
"70CNR-S1409","Department of Conservation and Natural Resources","","Heather Moon","JOHN DEERE TRACTOR","12/29/2020 14:00:00","/bso/external/bidAckList.sdo","Renner Equipment Company","Bid to PO","RX 706-R12631"
"44DOC-S1408","Department of Corrections","","Marti Marsh","Eaton UPS","12/17/2020 14:00:00","","Infinite Consulting Services Inc","Bid to PO","440 33601"
"30DOE-S1407","Department of Education","","Marti Marsh","Aruba Switches and  Components","12/29/2020 14:00:00","","Big Green IT, LLC","Bid to PO","300 33568"
"99SWC-S1406","Statewide Contracts","99SWC-NV21-7577 99SWC-NV21-7575 99SWC-NV21-7576","Annette Morfin","Temporary Employment Services","12/21/2020 13:00:00","","Acro Service Corporation, Manpower Temporary Services-Northern Nevada, Marathon Staffing Group, Inc.","Bid to PO","RFP 3296"
"08DOA-S1405","Department of Administration","","Ryan Vradenburg","Risk Management Information System","02/03/2021 14:00:00","","Origami Risk LLC","Bid to PO",""
"80DOT-S1404","Department of Transportation","","Marti Marsh","20K LB. Rubber Tracked Compact Excavator","12/22/2020 14:00:00","","Cashman Equipment Company","Bid to PO","NDEQ021374"
"65DPS-S1403","Department of Public Safety","","Heather Moon","HOLSTERS AND POUCHES","12/07/2020 12:00:00","","L C Action Police supply","Bid to PO","RX 651-HP-2037"
"61GCB-S1402","Gaming Control Board","61GCB-NV21-7548 61GCB-NV21-7549 61GCB-NV21-7547","Nancy Feser","Investigative Services","10/30/2024 17:00:00","","Applied Facts Group, Inc., Berkeley Research Group (HK) Limited, Spectrum Gaming Group","Bid to PO",""
"50COMR-S1401","Commission on Mineral Resources","50COMR-NV21-7560","Ryan Vradenburg","Abandoned Mine Lands Cultural Surveys","01/12/2021 14:00:00","","Broadbent & Associates, Inc.","Bid to PO",""
"81DMV-S1400","Department of Motor Vehicles","81DMV-NV21-7022","Annette Morfin","Disabled Placards","12/03/2020 13:00:00","","Rydin Decal Co.","Bid to PO","810 33508"
"50COMR-S1399","Commission on Mineral Resources","","Heather Moon","UTV -- UTILITY WITH BED","12/08/2020 12:00:00","","5th Gear Powersports","Bid to PO","RX 500-33591"
"40DHHS-S1397","Department of Human Services","","Ryan Vradenburg","All Payers Claims Database","01/20/2021 15:00:00","","Bid Solicitation Closed - No Vendor Awarded","Closed","APCD RFI"
